Mamlakatlar;;Qayta tiklangan suv resurslari;;;O'lchov yili
Braziliya;;8233;;;2000
Rossiya;;4498;;;1997
Kanada;;3300;;;1985
AQSH;;3069;;;1985
Indoneziya;;2838;;;1999
Xitoy;;2829,6;;;1999
Kolumbiya;;2132;;;2000
Peru;;1913;;;2000
Hindiston;;1907,8;;;1999
Kongo DR;;1283;;;2001
Venesuela;;1233,2;;;2000
Bangladesh;;1210,6;;;1999
Myanma;;1045,6;;;1999
Chili;;922;;;2000
Vetnam;;891,2;;;1999
Kongo Respublikasi;;832;;;1987
Argentina;;814;;;2000
Papua Yangi Gvineya;;801;;;1987
Boliviya;;622,5;;;2000
Malayziya;;580;;;1999
Filippin;;479;;;1999
Kambodja;;476,1;;;1999
Meksika;;457,2;;;2000
Ekvador;;432;;;2000
Yaponiya;;430;;;1999
Tailand;;409,9;;;1999
Avstraliya;;398;;;1995
Yangi Zenlandiya;;397;;;1995
Norvegiya;;381,4;;;2005
Madagaskar;;337;;;1984
Paragvay;;336;;;2000
Laos;;333,6;;;2003
Nigeriya;;286,2;;;2003
Kamerun;;285,5;;;2003
Gayana;;241;;;2000
Kurka;;234;;;2003
Pokiston;;233,8;;;1987
Liberiya;;232;;;1987
Gvineya;;226;;;1992
Mozambik;;216;;;1999
Nepal;;210,2;;;20003
Serbiya;;208,5;;;2000
Nikaragua;;196,7;;;2005
Fransiya;;189;;;2005
Germaniya;;188;;;1987
Angola;;184;;;2005
Shvetsiya;;179;;;2005
Italiya;;175;;;2005
Islandiya;;170;;;1987
Gabon;;164;;;2005
Buyuk Britaniya;;160,6;;;1987
Syerra-Leone;;160;;;1987
Sudan;;154;;;1997
Panama;;148;;;2000
Markaziy Afrika Res;;144,4;;;2003
Ukraina;;139,5;;;1997
Urugvay;;139;;;2000
Eron;;137,5;;;1997
Surinam;;122;;;2003
Vengriya;;120;;;2005
Kosta-Rika;;112,4;;;2000
Gvatemal;;111,3;;;2000
Ispaniya;;111,1;;;2005
Finlandiya;;110;;;2005
Efiopiya;;110;;;1987
Qozog'iston;;109,6;;;1997
Xorvatiya;;105,5;;;1998
Zambiya;;105,2;;;2001
Mali;;100;;;2001
Tojikiston;;99,7;;;1997
Iroq;;96,4;;;1997
Gonduras;;95,9;;;2000
Butan;;95;;;1987
Tanzaniya;;91;;;2001
Gollandiya;;89,7;;;2005
Misr;;86,8;;;1997
Avstriya;;84;;;2005
Kot-d'lvuar;;81;;;2001
KXDR;;77,1;;;1999
Portugaliya;;73,6;;;2005
O'zbekiston;;72,2;;;2003
Gretsiya;;72;;;2005
Koreya Res;;69,7;;;1999
Xitoy Res;;67;;;2000
Uganda;;66;;;1970
Afg'oniston;;65;;;1997
Gruziya;;63,3;;;1997
Polsha;;63,1;;;2005
Turkmaniston;;60,9;;;1997
Belarusiya;;58;;;1997
Shvetsariya;;53,3;;;2005
Gana;;53,2;;;2001
Slovakiya;;50,1;;;2003
Shri lanka;;50;;;1999
Janubiy Afrika;;50;;;1990
Latviya;;49,9;;;2005
Irlandiya;;46,8;;;2003
Qirg'iziston;;46,5;;;1997
Suriya;;46,1;;;1997
Namibiya;;45,5;;;1991
Sulaymon orollari;;44,7;;;1987
Chad;;43;;;1987
Ruminiya;;42,3;;;2003
Albaniya;;41,7;;;2001
Senegal;;39,3;;;1987
Kuba;;38,1;;;2000
Bosniya va Gersegovina;;37,5;;;2003
Mo'g'uliston;;34,8;;;1999
Niger;;33,7;;;2003
Sloveniya;;32,1;;;2005
Gvineya-Bisaau;;31;;;2003
Ozarbayjon;;31,3;;;1997
Keniya;;30,2;;;1990
Marokash;;29;;;2003
Fidji;;28,6;;;1987
Ekvatorial Gvineya;;26;;;2001
Benin;;25,8;;;2001
Salvador;;25,2;;;2001
Litva;;24,5;;;2005
Estoniya;;21,1;;;2005
Dominikan Res;;21;;;2000
Belgiya;;20,8;;;2005
Zimbabve;;20;;;1987
Bolgariya;;19,4;;;2005
Beliz;;18,6;;;2000
Burkina-Faso;;17,5;;;2001
Malavi;;17,3;;;2001
Chex;;16;;;2005
Somali;;15,7;;;1997
Togo;;14,7;;;2001
Botsvana;;14,7;;;2001
Jazoir;;14,3;;;1997
Gaiti;;14;;;2000
Moldaviya;;11,7;;;1997
Mavritaniya;;11,4;;;1997
Armaniston;;10,5;;;1997
Yamayka;;9,4;;;2000
Bruney;;8,5;;;1999
Shimoliy Makedoniya;;6,4;;;1982
Eritreya;;6,3;;;2001
Daniya;;6,1;;;2003
Ruanda;;5,2;;;2003
Lesoto;;5,2;;;1987
Livan;;4,8;;;1997
Tunis;;4,6;;;2003
Svazilend;;4,5;;;1987
Yaman;;4,1;;;1997
Trinidad va Tobago;;3,8;;;2000
Burundi;;3,6;;;1987
Saudiya Arabiston;;2,4;;;1997
Mavriki;;2,2;;;2001
Isroil;;1,7;;;2001
Lyuksemburk;;1,6;;;2005
Komor orollari;;1,2;;;2003
Ummon;;1;;;1997
Iorlandiya;;0,9;;;1997
Singapur;;0,6;;;1975
Liviya;;0,6;;;1997
Kipr;;0,4;;;2005
Jibuti;;0,3;;;1997
Kabo-Verde;;0,3;;;1990
BAA;;0,2;;;1997
Qatar;;0,1;;;1997
Barbados;;0,1;;;2003
Baahrayn;;0,1;;;1997
Antigua va Barbuda;;0,1;;;2000
Malta;;0,07;;;2005
Maldiv orollari;;0,03;;;1999
Sent-Kits va Nevis;;0,02;;;2000
Quvayt;;0,02;;;1997
;;;;;.
